Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7086d431907e47b194c4e814d9b57cbe70376fa0c849d63f29a4dbd73b018a7d,2019-08,City of London Police,City of London Police,-0.094628,51.514203,On or near CHEAPSIDE,E01032739,City of London 001F,Investigation complete; no suspect identified
95d5bccab5907ba047e870303f76ef6f23ca73d4c0df4afc84bf4e083d785064,2019-08,City of London Police,City of London Police,-0.084095,51.516900,On or near NEW BROAD STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
e1dddcad7f32b18d5a6f2c3f3620da172b8552e22d51282c0861177a9fd8fa7e,2019-08,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Unable to prosecute suspect
7da479e5eaca35ebff35d000ac507917e78ba3add70bc9738b5219e861631d8a,2019-08,City of London Police,City of London Police,-0.092865,51.510182,On or near Parking Area,E01032739,City of London 001F,Investigation complete; no suspect identified
e68d40c66a073d8a56eca155f1635ae292b018b7fbd3e068508625964eb6b361,2019-08,City of London Police,City of London Police,-0.083587,51.512171,On or near LIME STREET PASSAGE,E01032739,City of London 001F,Investigation complete; no suspect identified
141e89e9679e940a808594f19beb4d545bd8da9881e407a4cad8d8d2f11f1d28,2019-08,City of London Police,City of London Police,-0.079786,51.517576,On or near Police Station,E01032739,City of London 001F,Investigation complete; no suspect identified
18ea09a99f719db4f3c5f757991b183eab232c0c5bfbd69d45775af8fd0bb5c7,2019-08,City of London Police,City of London Police,-0.094628,51.514203,On or near CHEAPSIDE,E01032739,City of London 001F,Investigation complete; no suspect identified
6a25778d34bc714c0a5155ef66bcbee1868b13181103937583fa05be8026b523,2019-08,City of London Police,City of London Police,-0.089596,51.518743,On or near NEW UNION STREET,E01000002,City of London 001B,Investigation complete; no suspect identified
90d006a2a062ebbae721ecc09b7f4d6f16079828345644de1e77fcde32249e9a,2019-08,City of London Police,City of London Police,-0.100179,51.514158,On or near Shopping Area,E01032739,City of London 001F,Investigation complete; no suspect identified
ad233f36bd0bc00f6c3257956d19d535e967e5f2b555c42ac8d5a5e25ef1ba92,2019-08,City of London Police,City of London Police,-0.092865,51.510182,On or near Parking Area,E01032739,City of London 001F,Investigation complete; no suspect identified
be2dfd7d4cc2a158d8386eff97030199a9f7c5b2dd306bc96327f9302aad069f,2019-08,City of London Police,City of London Police,-0.060769,51.510240,On or near CANNON STREET ROAD,E01004295,Tower Hamlets 026C,Investigation complete; no suspect identified
9f6c7cc448ff1be32a06bc84a23cc301d90ac0672540455be4e3f5b96a6f68d6,2019-08,City of London Police,City of London Police,-0.092077,51.512147,On or near TOWER ROYAL,E01032739,City of London 001F,Investigation complete; no suspect identified
d550f01fb905883c826682a6534c568198d60b4b70a2a185af2c95859520a8a6,2019-08,City of London Police,City of London Police,-0.104275,51.511661,On or near VICTORIA EMBANKMENT,E01032739,City of London 001F,Investigation complete; no suspect identified
e3ba7dac6b682b883159075142da3966e62f57a5028ce0802bb9f5a231bf1b50,2019-08,City of London Police,City of London Police,-0.087118,51.513199,On or near Nightclub,E01032739,City of London 001F,Investigation complete; no suspect identified
01dfaff55fdecd7f97d067635277cd20139b302d7cbe0b912088130ae92443f9,2019-08,City of London Police,City of London Police,-0.104300,51.511761,On or near Pedestrian Subway,E01032740,City of London 001G,Investigation complete; no suspect identified
d701b1b514166af7005720a7d9f18d84f4ba416b2e9522ff70ff5e24c15f0c89,2019-08,City of London Police,City of London Police,-0.082628,51.518189,On or near SUN STREET PASSAGE,E01032739,City of London 001F,Investigation complete; no suspect identified
